protein,count,accuracy,auc,precision,recall,f1
A4,4188,0.6895893027698186,0.7677216499205076,0.6805163372327552,0.7685649202733486,0.7218656397090286
E2,1604,0.8653366583541147,0.9329401811486016,0.8614457831325302,0.8762254901960784,0.8687727825030377
