label,logit,pred,code_prefix
1.0,0.34944203,0,A4
1.0,0.64945245,1,A4
0.0,0.44303045,0,A4
1.0,0.94432616,1,A4
0.0,0.31243625,0,A4
1.0,0.8319605,1,A4
0.0,0.15629607,0,A4
0.0,0.3897291,0,A4
1.0,0.5532263,1,A4
0.0,0.39636034,0,A4
0.0,0.79396796,1,A4
0.0,0.7609218,1,A4
1.0,0.6457052,1,A4
1.0,0.49080342,0,A4
1.0,0.94350725,1,A4
1.0,0.982366,1,A4
0.0,0.1791738,0,A4
1.0,0.9298787,1,A4
1.0,0.99629694,1,A4
0.0,0.17005078,0,A4
0.0,0.81512344,1,A4
1.0,0.5804337,1,A4
0.0,0.45843264,0,A4
0.0,0.63801265,1,A4
1.0,0.9698318,1,A4
0.0,0.78095925,1,A4
0.0,0.6611299,1,A4
1.0,0.88798255,1,A4
1.0,0.106508575,0,A4
1.0,0.6140192,1,A4
0.0,0.24718638,0,A4
1.0,0.78583354,1,A4
1.0,0.13570487,0,A4
1.0,0.44375816,0,A4
1.0,0.7118745,1,A4
0.0,0.32228494,0,A4
0.0,0.75675476,1,A4
0.0,0.39975554,0,A4
1.0,0.88168865,1,A4
1.0,0.5442474,1,A4
0.0,0.31608236,0,A4
1.0,0.16612625,0,A4
0.0,0.14314409,0,A4
1.0,0.35011375,0,A4
1.0,0.9837766,1,A4
1.0,0.81340796,1,A4
1.0,0.3692032,0,A4
0.0,0.044401444,0,A4
0.0,0.47956926,0,A4
0.0,0.013548874,0,A4
1.0,0.9821156,1,A4
1.0,0.9873527,1,A4
1.0,0.43963253,0,A4
1.0,0.6057005,1,A4
1.0,0.91420877,1,A4
1.0,0.71176434,1,A4
0.0,0.0570544,0,A4
0.0,0.71242666,1,A4
0.0,0.91868466,1,A4
0.0,0.7020196,1,A4
1.0,0.7797328,1,A4
1.0,0.86087704,1,A4
0.0,0.43241924,0,A4
1.0,0.956623,1,A4
1.0,0.99689925,1,A4
1.0,0.9273347,1,A4
1.0,0.38941717,0,A4
1.0,0.5669435,1,A4
0.0,0.7810275,1,A4
1.0,0.36162564,0,A4
0.0,0.24153496,0,A4
0.0,0.22133876,0,A4
1.0,0.791411,1,A4
1.0,0.4117663,0,A4
1.0,0.9260545,1,A4
1.0,0.7168037,1,A4
1.0,0.8198935,1,A4
1.0,0.9549558,1,A4
0.0,0.5211159,1,A4
0.0,0.4335736,0,A4
1.0,0.7819679,1,A4
1.0,0.9503098,1,A4
0.0,0.8242038,1,A4
0.0,0.38065222,0,A4
0.0,0.7237733,1,A4
0.0,0.20842758,0,A4
0.0,0.4497747,0,A4
1.0,0.9329018,1,A4
1.0,0.9440171,1,A4
1.0,0.94644135,1,A4
1.0,0.3371239,0,A4
0.0,0.06774091,0,A4
1.0,0.92237544,1,A4
0.0,0.6681452,1,A4
0.0,0.52462363,1,A4
1.0,0.9905213,1,A4
0.0,0.4763837,0,A4
0.0,0.47369844,0,A4
0.0,0.85459673,1,A4
0.0,0.990306,1,A4
1.0,0.21464463,0,A4
0.0,0.20238335,0,A4
1.0,0.91263306,1,A4
1.0,0.5994696,1,A4
1.0,0.94190216,1,A4
0.0,0.20762849,0,A4
0.0,0.06974905,0,A4
0.0,0.07283082,0,A4
1.0,0.89782345,1,A4
0.0,0.6042929,1,A4
1.0,0.2994939,0,A4
1.0,0.39626566,0,A4
1.0,0.6879304,1,A4
0.0,0.4594278,0,A4
0.0,0.4592947,0,A4
1.0,0.6060369,1,A4
1.0,0.54520696,1,A4
0.0,0.28528357,0,A4
1.0,0.94056886,1,A4
1.0,0.6695377,1,A4
0.0,0.015853677,0,A4
1.0,0.45956576,0,A4
1.0,0.3957343,0,A4
0.0,0.6044122,1,A4
0.0,0.50705665,1,A4
0.0,0.47209448,0,A4
1.0,0.9617102,1,A4
1.0,0.58996946,1,A4
1.0,0.39051786,0,A4
0.0,0.32501814,0,A4
0.0,0.15556158,0,A4
0.0,0.60727066,1,A4
1.0,0.047143508,0,A4
0.0,0.21572438,0,A4
0.0,0.07271062,0,A4
1.0,0.1931743,0,A4
1.0,0.3875838,0,A4
1.0,0.90179384,1,A4
0.0,0.8590369,1,A4
1.0,0.8315064,1,A4
0.0,0.052189257,0,A4
0.0,0.02635129,0,A4
1.0,0.8058518,1,A4
0.0,0.46103275,0,A4
1.0,0.96512526,1,A4
0.0,0.14841677,0,A4
1.0,0.95543015,1,A4
1.0,0.8122696,1,A4
0.0,0.75786996,1,A4
0.0,0.6748817,1,A4
0.0,0.9208346,1,A4
0.0,0.4918202,0,A4
0.0,0.3216407,0,A4
0.0,0.070856,0,A4
0.0,0.42772192,0,A4
0.0,0.01741021,0,A4
0.0,0.52124625,1,A4
1.0,0.4094758,0,A4
0.0,0.50067735,1,A4
1.0,0.44413036,0,A4
1.0,0.4237102,0,A4
0.0,0.20140506,0,A4
0.0,0.8847047,1,A4
1.0,0.92145103,1,A4
1.0,0.7577962,1,A4
1.0,0.9784006,1,A4
1.0,0.6806896,1,A4
1.0,0.50098276,1,A4
1.0,0.8081101,1,A4
1.0,0.79009295,1,A4
0.0,0.3025931,0,A4
1.0,0.18752016,0,A4
1.0,0.29728675,0,A4
0.0,0.35280162,0,A4
1.0,0.9576538,1,A4
1.0,0.99327224,1,A4
1.0,0.3330759,0,A4
1.0,0.58688265,1,A4
0.0,0.4844274,0,A4
0.0,0.35811856,0,A4
0.0,0.15853792,0,A4
0.0,0.83982426,1,A4
0.0,0.7729257,1,A4
0.0,0.78171295,1,A4
1.0,0.271901,0,A4
0.0,0.68256503,1,A4
1.0,0.9675772,1,A4
1.0,0.9694633,1,A4
0.0,0.65160155,1,A4
0.0,0.06249673,0,A4
0.0,0.15096073,0,A4
1.0,0.7259381,1,A4
1.0,0.9164023,1,A4
0.0,0.24659918,0,A4
1.0,0.67072344,1,A4
0.0,0.44968832,0,A4
1.0,0.20757112,0,A4
0.0,0.48385787,0,A4
0.0,0.73886937,1,A4
0.0,0.530282,1,A4
0.0,0.86643875,1,A4
0.0,0.66569406,1,A4
0.0,0.0015990577,0,A4
0.0,0.7422789,1,A4
0.0,0.8166469,1,A4
1.0,0.8563379,1,A4
0.0,0.43255517,0,A4
0.0,0.27773696,0,A4
0.0,0.12670548,0,A4
0.0,0.10332657,0,A4
1.0,0.7810578,1,A4
1.0,0.4667696,0,A4
1.0,0.9675261,1,A4
1.0,0.69118655,1,A4
1.0,0.5036957,1,A4
1.0,0.95590115,1,A4
0.0,0.17939402,0,A4
0.0,0.30758652,0,A4
0.0,0.28820127,0,A4
1.0,0.81822675,1,A4
1.0,0.9193801,1,A4
0.0,0.104934014,0,A4
0.0,0.20314547,0,A4
0.0,0.58302003,1,A4
1.0,0.086020395,0,A4
1.0,0.49067888,0,A4
0.0,0.3762961,0,A4
1.0,0.7941827,1,A4
1.0,0.42093652,0,A4
0.0,0.031575054,0,A4
0.0,0.428022,0,A4
0.0,0.29037508,0,A4
1.0,0.69953316,1,A4
1.0,0.9826669,1,A4
0.0,0.34027004,0,A4
1.0,0.9562905,1,A4
1.0,0.72508097,1,A4
0.0,0.16719756,0,A4
1.0,0.4901819,0,A4
0.0,0.493922,0,A4
1.0,0.55223453,1,A4
0.0,0.7396019,1,A4
0.0,0.04318011,0,A4
1.0,0.9898515,1,A4
1.0,0.9183187,1,A4
0.0,0.30340332,0,A4
1.0,0.5086525,1,A4
0.0,0.35716328,0,A4
0.0,0.7045092,1,A4
1.0,0.9315005,1,A4
0.0,0.054118466,0,A4
1.0,0.2456224,0,A4
0.0,0.47683525,0,A4
1.0,0.7015905,1,A4
1.0,0.37253505,0,A4
0.0,0.39280704,0,A4
0.0,0.6067806,1,A4
0.0,0.4613866,0,A4
0.0,0.25689322,0,A4
1.0,0.7979305,1,A4
1.0,0.11232179,0,A4
1.0,0.9523494,1,A4
0.0,0.69128853,1,A4
0.0,0.16611308,0,A4
1.0,0.81284255,1,A4
1.0,0.41066724,0,A4
1.0,0.9697636,1,A4
0.0,0.30585083,0,A4
0.0,0.6428105,1,A4
0.0,0.24492684,0,A4
0.0,0.4640378,0,A4
0.0,0.36614022,0,A4
1.0,0.7863803,1,A4
1.0,0.31383234,0,A4
1.0,0.6587555,1,A4
0.0,0.020346748,0,A4
0.0,0.0009775357,0,A4
1.0,0.8009468,1,A4
1.0,0.69359165,1,A4
0.0,0.4192691,0,A4
0.0,0.16770327,0,A4
1.0,0.96518964,1,A4
0.0,0.14890417,0,A4
0.0,0.53448796,1,A4
0.0,0.042966925,0,A4
0.0,0.83119494,1,A4
1.0,0.5172311,1,A4
0.0,0.003933484,0,A4
1.0,0.90091693,1,A4
0.0,0.12605314,0,A4
1.0,0.9215382,1,A4
0.0,0.53832257,1,A4
1.0,0.4582817,0,A4
0.0,0.17039895,0,A4
0.0,0.30911162,0,A4
1.0,0.35544264,0,A4
0.0,0.44459176,0,A4
0.0,0.8117411,1,A4
0.0,0.26175112,0,A4
0.0,0.22678822,0,A4
0.0,0.53171426,1,A4
1.0,0.46637672,0,A4
1.0,0.9854848,1,A4
1.0,0.7628591,1,A4
1.0,0.99139553,1,A4
0.0,0.37725386,0,A4
1.0,0.8040663,1,A4
1.0,0.9930566,1,A4
0.0,0.060464844,0,A4
0.0,0.6156099,1,A4
0.0,0.4902947,0,A4
0.0,0.775378,1,A4
1.0,0.41108277,0,A4
0.0,0.634146,1,A4
1.0,0.8730028,1,A4
1.0,0.5909038,1,A4
