label,logit,pred,code_prefix
1.0,0.4900209,0,A4
1.0,0.64893496,1,A4
0.0,0.44628593,0,A4
1.0,0.8359299,1,A4
0.0,0.122649245,0,A4
1.0,0.77644604,1,A4
0.0,0.15108943,0,A4
0.0,0.08161846,0,A4
1.0,0.4809617,0,A4
0.0,0.10543431,0,A4
0.0,0.18260929,0,A4
0.0,0.61298144,1,A4
1.0,0.6696081,1,A4
1.0,0.18194073,0,A4
1.0,0.7860685,1,A4
1.0,0.81997633,1,A4
0.0,0.21575505,0,A4
1.0,0.90216666,1,A4
1.0,0.9882279,1,A4
0.0,0.17645125,0,A4
0.0,0.79565966,1,A4
1.0,0.46315664,0,A4
0.0,0.3892415,0,A4
0.0,0.32243675,0,A4
1.0,0.8032879,1,A4
0.0,0.75046337,1,A4
0.0,0.60067517,1,A4
1.0,0.7211352,1,A4
1.0,0.23760602,0,A4
1.0,0.63287324,1,A4
0.0,0.33982104,0,A4
1.0,0.619551,1,A4
1.0,0.48205405,0,A4
1.0,0.5326476,1,A4
1.0,0.6830731,1,A4
0.0,0.3461493,0,A4
0.0,0.69573164,1,A4
0.0,0.51144934,1,A4
1.0,0.7792262,1,A4
1.0,0.37247118,0,A4
0.0,0.28043756,0,A4
1.0,0.39553565,0,A4
0.0,0.296527,0,A4
1.0,0.40731332,0,A4
1.0,0.7960532,1,A4
1.0,0.35319996,0,A4
1.0,0.29363525,0,A4
0.0,0.15912358,0,A4
0.0,0.40456858,0,A4
0.0,0.39938647,0,A4
1.0,0.95748323,1,A4
1.0,0.93837965,1,A4
1.0,0.50829375,1,A4
1.0,0.55936426,1,A4
1.0,0.8435499,1,A4
1.0,0.32901484,0,A4
0.0,0.14786093,0,A4
0.0,0.88818914,1,A4
0.0,0.943789,1,A4
0.0,0.49411163,0,A4
1.0,0.69901484,1,A4
1.0,0.57847404,1,A4
0.0,0.4179844,0,A4
1.0,0.95224166,1,A4
1.0,0.99160576,1,A4
1.0,0.6550601,1,A4
1.0,0.41051814,0,A4
1.0,0.36626047,0,A4
0.0,0.20351318,0,A4
1.0,0.54934305,1,A4
0.0,0.3543739,0,A4
0.0,0.32451472,0,A4
1.0,0.5895482,1,A4
1.0,0.6752385,1,A4
1.0,0.51216257,1,A4
1.0,0.6277652,1,A4
1.0,0.73118436,1,A4
1.0,0.86064416,1,A4
0.0,0.4071433,0,A4
0.0,0.3694872,0,A4
1.0,0.74364865,1,A4
1.0,0.79773015,1,A4
0.0,0.41733578,0,A4
0.0,0.52892506,1,A4
0.0,0.75887656,1,A4
0.0,0.17286697,0,A4
0.0,0.61056995,1,A4
1.0,0.6053383,1,A4
1.0,0.7935226,1,A4
1.0,0.7593665,1,A4
1.0,0.5482178,1,A4
0.0,0.15589803,0,A4
1.0,0.6073888,1,A4
0.0,0.6491291,1,A4
0.0,0.19923617,0,A4
1.0,0.8832099,1,A4
0.0,0.23915645,0,A4
0.0,0.65868646,1,A4
0.0,0.854779,1,A4
0.0,0.9822609,1,A4
1.0,0.20645088,0,A4
0.0,0.35468507,0,A4
1.0,0.6048164,1,A4
1.0,0.5457002,1,A4
1.0,0.7257971,1,A4
0.0,0.254006,0,A4
0.0,0.22075126,0,A4
0.0,0.11653465,0,A4
1.0,0.81383085,1,A4
0.0,0.5879076,1,A4
1.0,0.2421284,0,A4
1.0,0.5340894,1,A4
1.0,0.7529345,1,A4
0.0,0.51908624,1,A4
0.0,0.082700945,0,A4
1.0,0.4587211,0,A4
1.0,0.64761364,1,A4
0.0,0.40234664,0,A4
1.0,0.83591634,1,A4
1.0,0.71595645,1,A4
0.0,0.022080192,0,A4
1.0,0.27385345,0,A4
1.0,0.3972803,0,A4
0.0,0.34565505,0,A4
0.0,0.5872465,1,A4
0.0,0.5764824,1,A4
1.0,0.71020633,1,A4
1.0,0.3491361,0,A4
1.0,0.20035483,0,A4
0.0,0.46395516,0,A4
0.0,0.30210033,0,A4
0.0,0.50934416,1,A4
1.0,0.018000858,0,A4
0.0,0.17869589,0,A4
0.0,0.18067163,0,A4
1.0,0.24123125,0,A4
1.0,0.4742455,0,A4
1.0,0.8313616,1,A4
0.0,0.45721057,0,A4
1.0,0.80037534,1,A4
0.0,0.0122814225,0,A4
0.0,0.030291038,0,A4
1.0,0.737193,1,A4
0.0,0.2216935,0,A4
1.0,0.9563882,1,A4
0.0,0.017362937,0,A4
1.0,0.89935213,1,A4
1.0,0.6223917,1,A4
0.0,0.7248504,1,A4
0.0,0.5698112,1,A4
0.0,0.597832,1,A4
0.0,0.48411638,0,A4
0.0,0.4987403,0,A4
0.0,0.10368409,0,A4
0.0,0.18229182,0,A4
0.0,0.017546263,0,A4
0.0,0.44725388,0,A4
1.0,0.47211048,0,A4
0.0,0.4967724,0,A4
1.0,0.6617311,1,A4
1.0,0.4532488,0,A4
0.0,0.25278056,0,A4
0.0,0.592333,1,A4
1.0,0.95317507,1,A4
1.0,0.41313407,0,A4
1.0,0.82423216,1,A4
1.0,0.6766437,1,A4
1.0,0.42867547,0,A4
1.0,0.08353255,0,A4
1.0,0.6400958,1,A4
0.0,0.30242753,0,A4
1.0,0.19178407,0,A4
1.0,0.42639038,0,A4
0.0,0.34644932,0,A4
1.0,0.81021744,1,A4
1.0,0.98264587,1,A4
1.0,0.24062625,0,A4
1.0,0.5425214,1,A4
0.0,0.7616752,1,A4
0.0,0.40238845,0,A4
0.0,0.22309549,0,A4
0.0,0.806397,1,A4
0.0,0.9126625,1,A4
0.0,0.46182603,0,A4
1.0,0.38100275,0,A4
0.0,0.7015834,1,A4
1.0,0.71693885,1,A4
1.0,0.8168451,1,A4
0.0,0.08010425,0,A4
0.0,0.25210097,0,A4
0.0,0.18659891,0,A4
1.0,0.79402786,1,A4
1.0,0.605962,1,A4
0.0,0.25120977,0,A4
1.0,0.49503887,0,A4
0.0,0.39060223,0,A4
1.0,0.24394526,0,A4
0.0,0.48595107,0,A4
0.0,0.4286512,0,A4
0.0,0.4632807,0,A4
0.0,0.58887815,1,A4
0.0,0.6510346,1,A4
0.0,0.004883051,0,A4
0.0,0.5999847,1,A4
0.0,0.7426283,1,A4
1.0,0.7775062,1,A4
0.0,0.49303398,0,A4
0.0,0.5048388,1,A4
0.0,0.12771584,0,A4
0.0,0.11019667,0,A4
1.0,0.4566543,0,A4
1.0,0.66601264,1,A4
1.0,0.84106684,1,A4
1.0,0.6970975,1,A4
1.0,0.67944485,1,A4
1.0,0.87764937,1,A4
0.0,0.15648994,0,A4
0.0,0.4868094,0,A4
