protein,count,accuracy,auc,precision,recall,f1
A4,4188,0.6752626552053486,0.7362326228359622,0.6981490270526816,0.6701594533029612,0.6838679683867969
E2,1604,0.8740648379052369,0.9336633447795362,0.8946015424164524,0.8529411764705882,0.8732747804265998
