epoch,protein,loss,acc,auc,precision,recall,f1,num_samples,split
0,ALL,,0.6196822947915774,0.6787822469436698,0.6377916529740387,0.5543717329829473,0.593163098458106,70002,train
0,A4,,0.5834318826868495,0.6313228906279544,0.6068846989839761,0.4733480523576723,0.5318625822313775,50736,train
0,E2,,0.7151458527976746,0.8080014617238547,0.6952193106039259,0.7674442716433385,0.7295485905775675,19266,train
0,ALL,,0.6584944751381215,0.7336972871017942,0.7007384376214536,0.5988043839256061,0.6457736389684814,5792,val
0,A4,,0.6244030563514804,0.6915555240608645,0.6871239470517448,0.5202733485193621,0.5921700803733472,4188,val
0,E2,,0.7475062344139651,0.8644355902259381,0.725576289791438,0.8100490196078431,0.7654892877822814,1604,val
1,ALL,,0.723993600182852,0.8111549793911889,0.7344571975131516,0.7018766602873546,0.7177974147374571,70002,train
1,A4,,0.6659965310627562,0.7365110367011849,0.6844111461619348,0.6158728907112443,0.648335685232838,50736,train
1,E2,,0.8767258382642998,0.9532287700747926,0.8418924003009782,0.9280456194919647,0.8828722197563742,19266,train
1,ALL,,0.7301450276243094,0.8115636409755385,0.7510402219140083,0.7193623380936566,0.7348600508905853,5792,val
1,A4,,0.6747851002865329,0.7363140010538023,0.6978622327790974,0.669248291571754,0.6832558139534883,4188,val
1,E2,,0.8746882793017456,0.9335871404399323,0.8947368421052632,0.8541666666666666,0.8739811912225706,1604,val
2,ALL,,0.7914916716665238,0.8846716312001052,0.7891605518882625,0.795652546488046,0.7923932523539954,70002,train
2,A4,,0.7325764742983286,0.8151567403731731,0.7306428906616612,0.7366346002207854,0.733626511700958,50736,train
2,E2,,0.9466417523097685,0.985827345777707,0.9430334190231362,0.950855365474339,0.9469282395456892,19266,train
2,ALL,,0.7377417127071824,0.8277891767104459,0.7191539365452408,0.8130189305878446,0.7632112236944661,5792,val
2,A4,,0.6879178605539638,0.7626087662170673,0.6683093252463987,0.8031890660592255,0.7295675563831988,4188,val
2,E2,,0.8678304239401496,0.9492930103513487,0.8942558746736292,0.8394607843137255,0.865992414664981,1604,val
3,ALL,,0.8380189137453216,0.9244911574383039,0.8365849496615665,0.8402410808649204,0.8384090293711077,70002,train
3,A4,,0.7889072847682119,0.8746054591606869,0.788056298160088,0.7902933291278978,0.7891732283464566,50736,train
3,E2,,0.9673518114813662,0.9939709063717053,0.9634998971828089,0.9715914981855884,0.9675287801352538,19266,train
3,ALL,,0.7543162983425414,0.8419386616805142,0.777816655003499,0.7382929259382265,0.7575396149258817,5792,val
3,A4,,0.7175262655205349,0.7929088941134519,0.7351301115241635,0.7207289293849658,0.7278582930756844,4188,val
3,E2,,0.8503740648379052,0.9474594406290435,0.9079320113314447,0.7855392156862745,0.8423127463863338,1604,val
4,ALL,,0.8706179823433616,0.9476072768896948,0.8692868119984063,0.8724899311605587,0.8708854263190158,70002,train
4,A4,,0.8307119205298014,0.9122888813912784,0.8300735901774822,0.8316117331651159,0.8308419497784343,50736,train
4,E2,,0.9757085020242915,0.9962494724231904,0.9717281792947465,0.9799896319336444,0.9758414206070617,19266,train
4,ALL,,0.7669198895027625,0.856026225785329,0.782386943216593,0.7641979408834274,0.7731854838709677,5792,val
4,A4,,0.733046800382044,0.8137450324427067,0.7402945113788487,0.7558086560364464,0.7479711451758341,4188,val
4,E2,,0.8553615960099751,0.9517051109784016,0.9171428571428571,0.7867647058823529,0.8469656992084432,1604,val
5,ALL,,0.8899174309305449,0.9615555164831379,0.8882127115029148,0.8921705847067897,0.8901872488386012,70002,train
5,A4,,0.8554872280037843,0.9350363585588439,0.8542075901626464,0.8572386058981233,0.855720414026526,50736,train
5,E2,,0.980587563583515,0.9974176068216078,0.9773452785500978,0.984033177812338,0.9806778259971068,19266,train
5,ALL,,0.7727900552486188,0.8596161431815812,0.7854496463455709,0.7744935237462637,0.7799331103678929,5792,val
5,A4,,0.7418815663801337,0.8213876129094199,0.7449428320140721,0.7717539863325741,0.7581114343253524,4188,val
5,E2,,0.8534912718204489,0.9502167935702199,0.9179856115107914,0.7818627450980392,0.8444738583719391,1604,val
6,ALL,,0.9023313619610869,0.9684587178797123,0.9008309145751522,0.9042531920363335,0.9025388091402831,70002,train
6,A4,,0.8717084515925575,0.9467826904716329,0.8708548050824122,0.8728118593281817,0.8718322339273408,50736,train
6,E2,,0.9829751894529223,0.9979266184235293,0.9792202448307787,0.9869362363919129,0.9830631002788393,19266,train
6,ALL,,0.7771063535911602,0.8619053044267388,0.7828947368421053,0.7904350714048489,0.7866468352338456,5792,val
6,A4,,0.7478510028653295,0.8260347434700268,0.7434801197092775,0.7922551252847381,0.7670930745478606,4188,val
6,E2,,0.8534912718204489,0.9493925425500149,0.9144079885877318,0.7855392156862745,0.8450889914304548,1604,val
7,ALL,,0.9081169109454016,0.9713387240682897,0.9067437160181047,0.909851752406524,0.908295075422738,70002,train
7,A4,,0.8784886471144749,0.9511653545254498,0.8775614552605703,0.8796719760290175,0.8786154482269782,50736,train
7,E2,,0.986141388975397,0.9982004330103671,0.9832028029678483,0.9892172109901504,0.9862008372525712,19266,train
7,ALL,,0.7767610497237569,0.862680539328945,0.7909891598915989,0.7754898704749252,0.7831628374979037,5792,val
7,A4,,0.7461795606494747,0.8257723215765429,0.7520035618878005,0.7694760820045559,0.760639495609097,4188,val
7,E2,,0.8566084788029925,0.9489430924654126,0.9150141643059491,0.7916666666666666,0.8488830486202366,1604,val
