label,logit,pred,code_prefix
1.0,0.42658308,0,A4
1.0,0.6942586,1,A4
0.0,0.4710867,0,A4
1.0,0.9235813,1,A4
0.0,0.11717135,0,A4
1.0,0.62135565,1,A4
0.0,0.26989543,0,A4
0.0,0.17011075,0,A4
1.0,0.6944749,1,A4
0.0,0.5715715,1,A4
0.0,0.032214127,0,A4
0.0,0.54245824,1,A4
1.0,0.5326433,1,A4
1.0,0.58208364,1,A4
1.0,0.803805,1,A4
1.0,0.9706293,1,A4
0.0,0.326356,0,A4
1.0,0.71505857,1,A4
1.0,0.96781653,1,A4
0.0,0.41996762,0,A4
0.0,0.66344535,1,A4
1.0,0.18683296,0,A4
0.0,0.52532655,1,A4
0.0,0.20639727,0,A4
1.0,0.91944665,1,A4
0.0,0.59300697,1,A4
0.0,0.44086748,0,A4
1.0,0.67212015,1,A4
1.0,0.5855811,1,A4
1.0,0.39277694,0,A4
0.0,0.39514804,0,A4
1.0,0.8224105,1,A4
1.0,0.799984,1,A4
1.0,0.5924653,1,A4
1.0,0.8637525,1,A4
0.0,0.33711615,0,A4
0.0,0.81355643,1,A4
0.0,0.4620188,0,A4
1.0,0.80660343,1,A4
1.0,0.4656476,0,A4
0.0,0.52521473,1,A4
1.0,0.30906063,0,A4
0.0,0.06570882,0,A4
1.0,0.6928443,1,A4
1.0,0.886696,1,A4
1.0,0.33005837,0,A4
1.0,0.8178038,1,A4
0.0,0.08057296,0,A4
0.0,0.5077791,1,A4
0.0,0.47232184,0,A4
1.0,0.939519,1,A4
1.0,0.9387765,1,A4
1.0,0.75035375,1,A4
1.0,0.2944702,0,A4
1.0,0.64146405,1,A4
1.0,0.39332938,0,A4
0.0,0.32898653,0,A4
0.0,0.44889435,0,A4
0.0,0.86003584,1,A4
0.0,0.36445594,0,A4
1.0,0.37946725,0,A4
1.0,0.7582274,1,A4
0.0,0.70203364,1,A4
1.0,0.98310524,1,A4
1.0,0.7384193,1,A4
1.0,0.6273512,1,A4
1.0,0.5253946,1,A4
1.0,0.57891077,1,A4
0.0,0.07989112,0,A4
1.0,0.78264403,1,A4
0.0,0.15400584,0,A4
0.0,0.36921167,0,A4
1.0,0.5376587,1,A4
1.0,0.685415,1,A4
1.0,0.5417116,1,A4
1.0,0.7192765,1,A4
1.0,0.8618557,1,A4
1.0,0.35929787,0,A4
0.0,0.18840985,0,A4
0.0,0.20735672,0,A4
1.0,0.7823689,1,A4
1.0,0.87408686,1,A4
0.0,0.5659299,1,A4
0.0,0.4289104,0,A4
0.0,0.6425319,1,A4
0.0,0.40620705,0,A4
0.0,0.5035747,1,A4
1.0,0.65547675,1,A4
1.0,0.74151695,1,A4
1.0,0.81329787,1,A4
1.0,0.32529986,0,A4
0.0,0.2782443,0,A4
1.0,0.81596124,1,A4
0.0,0.75258803,1,A4
0.0,0.3378519,0,A4
1.0,0.8652071,1,A4
0.0,0.5371088,1,A4
0.0,0.17275769,0,A4
0.0,0.46206188,0,A4
0.0,0.9688994,1,A4
1.0,0.78475153,1,A4
0.0,0.23495151,0,A4
1.0,0.85406137,1,A4
1.0,0.4965797,0,A4
1.0,0.67407876,1,A4
0.0,0.29774684,0,A4
0.0,0.3200015,0,A4
0.0,0.095839635,0,A4
1.0,0.72739434,1,A4
0.0,0.5535062,1,A4
1.0,0.8470436,1,A4
1.0,0.60286456,1,A4
1.0,0.60880584,1,A4
0.0,0.16605766,0,A4
0.0,0.38261795,0,A4
1.0,0.44027486,0,A4
1.0,0.5682096,1,A4
0.0,0.22670923,0,A4
1.0,0.52784383,1,A4
1.0,0.44148088,0,A4
0.0,0.036864582,0,A4
1.0,0.71525747,1,A4
1.0,0.46668783,0,A4
0.0,0.4001843,0,A4
0.0,0.6738818,1,A4
0.0,0.38786185,0,A4
1.0,0.73720014,1,A4
1.0,0.2615014,0,A4
1.0,0.83940816,1,A4
0.0,0.6567032,1,A4
0.0,0.34203327,0,A4
0.0,0.40679115,0,A4
1.0,0.21172395,0,A4
0.0,0.31987202,0,A4
0.0,0.3321633,0,A4
