protein,count,accuracy,auc,precision,recall,f1
A4,4188,0.7137058261700095,0.7833378098972829,0.7265696087352138,0.7275626423690205,0.7270657864784885
E2,1604,0.9251870324189526,0.974507315616602,0.9317617866004962,0.9203431372549019,0.9260172626387176
