epoch,protein,loss,acc,auc,precision,recall,f1,num_samples,split
0,ALL,,0.6527956344104454,0.722642319236016,0.6577923226605342,0.637293267445514,0.6473805620439015,70002,train
0,A4,,0.6075961841690318,0.6576489517729847,0.6196219464058594,0.5570099353414288,0.5866500570954012,50736,train
0,E2,,0.7718260147409945,0.8736390646670016,0.7360798776648376,0.8484188698807672,0.7882670262980445,19266,train
0,ALL,,0.7151243093922652,0.8183247187496977,0.6691523738503604,0.8940551311856526,0.7654250781916406,5792,val
0,A4,,0.6387297039159503,0.713037887732348,0.6081852791878173,0.8733485193621868,0.7170375911726201,4188,val
0,E2,,0.9145885286783042,0.9695120433960386,0.8897818599311137,0.9497549019607843,0.918790752815649,1604,val
1,ALL,,0.7615353847032942,0.853761786091401,0.7565122402106325,0.7714873318289582,0.7639264046612266,70002,train
1,A4,,0.6983601387574897,0.7723069652757941,0.6950670906693555,0.7066314461441413,0.7008015640273705,50736,train
1,E2,,0.927904079725942,0.9743049443261993,0.9162968939088342,0.9420425090720581,0.9289913603598998,19266,train
1,ALL,,0.7719267955801105,0.8584037601072229,0.7814790139906729,0.7791431418133511,0.7803093297854649,5792,val
1,A4,,0.7132282712511939,0.7831691101086148,0.72632058287796,0.7266514806378133,0.7264859940787975,4188,val
1,E2,,0.9251870324189526,0.9745524161441227,0.9317617866004962,0.9203431372549019,0.9260172626387176,1604,val
2,ALL,,0.8169195165852404,0.90549123237525,0.8140904073141045,0.8215316061584164,0.8177940800136484,70002,train
2,A4,,0.7645064648375907,0.8481168164409689,0.7631207342904213,0.7670320138779372,0.7650713752015416,50736,train
2,E2,,0.9549465379424894,0.9881903402834724,0.9462125063548551,0.9648522550544324,0.9554414784394251,19266,train
2,ALL,,0.7765883977900553,0.8664165708595033,0.7642351492767006,0.8246429757555629,0.7932907348242811,5792,val
2,A4,,0.7184813753581661,0.7969282008670436,0.7075163398692811,0.7890660592255125,0.746069351712255,4188,val
2,E2,,0.9283042394014963,0.9762740121429282,0.9375780274656679,0.9203431372549019,0.9288806431663574,1604,val
3,ALL,,0.8630753407045513,0.9421907269445957,0.8582661631249647,0.8698620354765917,0.8640251947057072,70002,train
3,A4,,0.8219016083254493,0.9046526970587453,0.8173196517412935,0.8290490458918152,0.8231425663508964,50736,train
3,E2,,0.9715042042977265,0.9946321898555568,0.9662702481033422,0.9771902540176257,0.9716995721428939,19266,train
3,ALL,,0.7786602209944752,0.866835447300925,0.7768171629843099,0.805712387910993,0.7910009781545484,5792,val
3,A4,,0.7218242597898759,0.7945657180541918,0.7250874125874126,0.7558086560364464,0.7401293776488959,4188,val
3,E2,,0.9270573566084788,0.9768338807604259,0.918562874251497,0.9399509803921569,0.9291338582677166,1604,val
4,ALL,,0.9028599182880489,0.9682838245993134,0.8984659716925163,0.908423548230455,0.9034173223872966,70002,train
4,A4,,0.8727136549984232,0.9469899230470936,0.8679641884001557,0.8791200126163066,0.8735064833313746,50736,train
4,E2,,0.9822485207100592,0.997343561520777,0.9791902750592356,0.9854847071021254,0.9823274080198429,19266,train
4,ALL,,0.7743439226519337,0.8637170122113678,0.7665832290362954,0.8136831617402857,0.7894312872563235,5792,val
4,A4,,0.7175262655205349,0.7935567195891771,0.711892797319933,0.7744874715261959,0.7418721361553567,4188,val
4,E2,,0.9226932668329177,0.9736441848312929,0.9282178217821783,0.9191176470588235,0.9236453201970444,1604,val
5,ALL,,0.9309162595354419,0.9823776036388036,0.9269321108186886,0.935616555742809,0.9312540869416882,70002,train
5,A4,,0.9089798170923998,0.9702938070503184,0.9042793670590069,0.9147610786942123,0.909490023911254,50736,train
5,E2,,0.9886847295754179,0.9985440846765293,0.9869821262527121,0.9904613789528253,0.9887186917822397,19266,train
5,ALL,,0.7707182320441989,0.8645307013442621,0.774014978834256,0.7894387246761874,0.7816507727721145,5792,val
5,A4,,0.711556829035339,0.7918786367319787,0.719626168224299,0.7366742596810933,0.7280504277352544,4188,val
5,E2,,0.9251870324189526,0.9739956579078333,0.9223300970873787,0.9313725490196079,0.926829268292683,1604,val
6,ALL,,0.9490300277134939,0.9895248543675592,0.9456555634301913,0.9528406981062013,0.9492345341756303,70002,train
6,A4,,0.9325725323241879,0.9825089787444918,0.9289260721685758,0.9368001892445986,0.9328465147321516,50736,train
6,E2,,0.9923699781999377,0.9989166065742336,0.9897896039603961,0.9950233281493002,0.992399565689468,19266,train
6,ALL,,0.7738259668508287,0.862928342213036,0.7837837837837838,0.7801394885420126,0.7819573901464714,5792,val
6,A4,,0.7180038204393505,0.7917252525067806,0.7302452316076294,0.7325740318906606,0.7314077780304753,4188,val
6,E2,,0.919576059850374,0.9736263001393451,0.9320754716981132,0.9080882352941176,0.9199255121042831,1604,val
7,ALL,,0.9558726893517329,0.9920412245819399,0.9524579010035721,0.9596675140678111,0.9560491157178834,70002,train
7,A4,,0.9415799432355724,0.9866574614337306,0.9377051743004533,0.9459864374704305,0.9418276024493641,50736,train
7,E2,,0.9935118862244369,0.9991888262397322,0.9914309312409664,0.9956454121306376,0.9935337023433862,19266,train
7,ALL,,0.7712361878453039,0.8635743613462851,0.7722868217054264,0.7940883427432747,0.7830358604879646,5792,val
7,A4,,0.7132282712511939,0.7922359236827758,0.7174103237095363,0.7471526195899773,0.7319794688685561,4188,val
7,E2,,0.9226932668329177,0.9736123034239077,0.9271604938271605,0.9203431372549019,0.923739237392374,1604,val
