protein,count,accuracy,auc,precision,recall,f1
A4,4188,0.5257879656160458,0.5909457589033142,0.699047619047619,0.16719817767653758,0.2698529411764706
E2,1604,0.7475062344139651,0.8565305563849905,0.7073662966700303,0.8590686274509803,0.7758716104039846
