label,logit,pred,code_prefix
1.0,0.0007148351,0,A4
1.0,0.0020238236,0,A4
0.0,0.010351383,0,A4
1.0,0.55060923,1,A4
0.0,0.004754963,0,A4
1.0,0.0037847275,0,A4
0.0,0.00466192,0,A4
0.0,0.0027843572,0,A4
1.0,0.044258557,0,A4
0.0,0.011027337,0,A4
0.0,0.031168696,0,A4
0.0,0.012391975,0,A4
1.0,0.007887073,0,A4
1.0,0.0021174639,0,A4
1.0,0.27412352,0,A4
1.0,0.9838971,1,A4
0.0,0.0011780064,0,A4
1.0,0.02716133,0,A4
1.0,0.9956969,1,A4
0.0,0.09949477,0,A4
0.0,0.03538964,0,A4
1.0,0.590292,1,A4
0.0,0.014479867,0,A4
0.0,0.17288283,0,A4
1.0,0.01967681,0,A4
0.0,0.0030493147,0,A4
0.0,0.013140049,0,A4
1.0,0.30735463,0,A4
1.0,0.0075539267,0,A4
1.0,0.0016684881,0,A4
0.0,0.010040949,0,A4
1.0,0.07518333,0,A4
1.0,0.0053945105,0,A4
1.0,0.0021639378,0,A4
1.0,0.0029944128,0,A4
0.0,0.004415275,0,A4
0.0,0.22442979,0,A4
0.0,0.76177704,1,A4
1.0,0.0133400075,0,A4
1.0,0.0040709414,0,A4
0.0,0.0054493183,0,A4
1.0,0.0432728,0,A4
0.0,0.0006859743,0,A4
1.0,0.0020072344,0,A4
1.0,0.0030571497,0,A4
1.0,0.0055326275,0,A4
1.0,0.0219145,0,A4
0.0,0.010523345,0,A4
0.0,0.04740386,0,A4
0.0,0.85348874,1,A4
1.0,0.00926832,0,A4
1.0,0.33109626,0,A4
1.0,0.013545738,0,A4
1.0,0.003085189,0,A4
1.0,0.42137855,0,A4
1.0,0.0023199506,0,A4
0.0,0.026695801,0,A4
0.0,0.011129279,0,A4
0.0,0.5340752,1,A4
0.0,0.0028659783,0,A4
1.0,0.0017032356,0,A4
1.0,0.21009885,0,A4
0.0,0.0126141235,0,A4
1.0,0.9721757,1,A4
1.0,0.9136875,1,A4
1.0,0.58298135,1,A4
1.0,0.080226935,0,A4
1.0,0.030660408,0,A4
0.0,0.004724284,0,A4
1.0,0.010060439,0,A4
0.0,0.026837612,0,A4
0.0,0.08325617,0,A4
1.0,0.3700811,0,A4
1.0,0.01225907,0,A4
1.0,0.00592929,0,A4
1.0,0.0045268456,0,A4
1.0,0.032612406,0,A4
1.0,0.0068781497,0,A4
0.0,0.058063567,0,A4
0.0,0.002614016,0,A4
1.0,0.06262603,0,A4
1.0,0.19722444,0,A4
0.0,0.091755025,0,A4
0.0,0.0022300207,0,A4
0.0,0.0055331574,0,A4
0.0,0.008177021,0,A4
0.0,0.005909018,0,A4
1.0,0.6559917,1,A4
1.0,0.049178574,0,A4
1.0,0.0089646885,0,A4
1.0,0.0052539245,0,A4
0.0,0.0035866022,0,A4
1.0,0.055164117,0,A4
0.0,0.010376243,0,A4
0.0,0.0025241661,0,A4
1.0,0.0042445264,0,A4
0.0,0.027148135,0,A4
0.0,0.00398164,0,A4
0.0,0.03690173,0,A4
0.0,0.99263906,1,A4
1.0,0.042890597,0,A4
0.0,0.004719314,0,A4
1.0,0.008864834,0,A4
1.0,0.006512135,0,A4
1.0,0.06642637,0,A4
0.0,0.009958209,0,A4
0.0,0.0011302507,0,A4
0.0,0.020053284,0,A4
1.0,0.0061780703,0,A4
0.0,0.009657357,0,A4
1.0,0.9411758,1,A4
1.0,0.0033703726,0,A4
1.0,0.021409724,0,A4
0.0,0.0025163395,0,A4
0.0,0.17914705,0,A4
1.0,0.00974125,0,A4
1.0,0.008816658,0,A4
0.0,0.38115498,0,A4
1.0,0.134181,0,A4
1.0,0.29691777,0,A4
0.0,0.013269367,0,A4
1.0,0.39307,0,A4
1.0,0.002060037,0,A4
0.0,0.0012321256,0,A4
0.0,0.04665952,0,A4
0.0,0.0032263556,0,A4
1.0,0.009323648,0,A4
1.0,0.0008260175,0,A4
1.0,0.7415492,1,A4
0.0,0.012193512,0,A4
0.0,0.015576297,0,A4
0.0,0.0022824232,0,A4
1.0,0.1818725,0,A4
0.0,0.22403546,0,A4
0.0,0.00095557165,0,A4
1.0,0.006923331,0,A4
1.0,0.008453353,0,A4
1.0,0.012720252,0,A4
0.0,0.035816945,0,A4
1.0,0.05599817,0,A4
0.0,0.0037003134,0,A4
0.0,0.0019420813,0,A4
1.0,0.011549066,0,A4
0.0,0.9157923,1,A4
1.0,0.9457668,1,A4
0.0,0.0050883824,0,A4
1.0,0.07583111,0,A4
1.0,0.0011534634,0,A4
0.0,0.02237024,0,A4
0.0,0.009182941,0,A4
0.0,0.00070342794,0,A4
0.0,0.100343496,0,A4
0.0,0.031117719,0,A4
0.0,0.0013204708,0,A4
0.0,0.010135013,0,A4
0.0,0.004635952,0,A4
0.0,0.0025950316,0,A4
1.0,0.0019045223,0,A4
0.0,0.04677303,0,A4
1.0,0.5256429,1,A4
1.0,0.684853,1,A4
0.0,0.0109140165,0,A4
0.0,0.088166825,0,A4
1.0,0.96914244,1,A4
1.0,0.00812472,0,A4
1.0,0.93430763,1,A4
1.0,0.0029014384,0,A4
1.0,0.0011954826,0,A4
1.0,0.0065514254,0,A4
1.0,0.73540777,1,A4
0.0,0.029588697,0,A4
1.0,0.0021231077,0,A4
1.0,0.119259425,0,A4
0.0,0.014928563,0,A4
1.0,0.005009205,0,A4
1.0,0.9922699,1,A4
1.0,0.018315192,0,A4
1.0,0.03632853,0,A4
0.0,0.9429523,1,A4
0.0,0.0015723156,0,A4
0.0,0.0011706627,0,A4
0.0,0.019235915,0,A4
0.0,0.8873942,1,A4
0.0,0.0010965886,0,A4
1.0,0.0067022946,0,A4
0.0,0.008260832,0,A4
1.0,0.021133274,0,A4
1.0,0.48776847,0,A4
0.0,0.00394492,0,A4
0.0,0.011061066,0,A4
0.0,0.0014512416,0,A4
1.0,0.059250694,0,A4
1.0,0.014205021,0,A4
0.0,0.0049656015,0,A4
1.0,0.042918753,0,A4
0.0,0.0034002608,0,A4
1.0,0.020983206,0,A4
0.0,0.015932716,0,A4
0.0,0.0019245966,0,A4
0.0,0.84878504,1,A4
0.0,0.0043158494,0,A4
0.0,0.001550985,0,A4
0.0,0.0015961142,0,A4
0.0,0.68999964,1,A4
0.0,0.006977319,0,A4
1.0,0.009686294,0,A4
0.0,0.0042693387,0,A4
0.0,0.0148074,0,A4
0.0,0.004133022,0,A4
0.0,0.11117908,0,A4
1.0,0.0041818907,0,A4
1.0,0.054942984,0,A4
1.0,0.013198616,0,A4
1.0,0.0030111605,0,A4
1.0,0.0032873594,0,A4
1.0,0.37490484,0,A4
0.0,0.008993967,0,A4
0.0,0.0039366395,0,A4
0.0,0.01739344,0,A4
1.0,0.014723839,0,A4
1.0,0.6829326,1,A4
0.0,0.004301191,0,A4
0.0,0.004878884,0,A4
0.0,0.070767805,0,A4
1.0,0.0049769254,0,A4
1.0,0.003989484,0,A4
0.0,0.0021163165,0,A4
1.0,0.23968492,0,A4
1.0,0.0060594603,0,A4
0.0,0.0013125344,0,A4
0.0,0.038117405,0,A4
0.0,0.03880434,0,A4
1.0,0.0020617268,0,A4
1.0,0.70180225,1,A4
0.0,0.07721914,0,A4
1.0,0.016712302,0,A4
1.0,0.19406429,0,A4
0.0,0.0015124471,0,A4
1.0,0.018642282,0,A4
0.0,0.003943507,0,A4
1.0,0.28061217,0,A4
0.0,0.0015092957,0,A4
0.0,0.037108645,0,A4
1.0,0.0026068017,0,A4
1.0,0.032137185,0,A4
0.0,0.0012640336,0,A4
1.0,0.8627288,1,A4
0.0,0.0018093755,0,A4
0.0,0.0101541085,0,A4
1.0,0.005310885,0,A4
0.0,0.0034761222,0,A4
1.0,0.7470712,1,A4
0.0,0.12775317,0,A4
1.0,0.0023967673,0,A4
1.0,0.012852902,0,A4
0.0,0.35367703,0,A4
0.0,0.0012004628,0,A4
0.0,0.06536522,0,A4
0.0,0.1981094,0,A4
1.0,0.01756698,0,A4
1.0,0.026184868,0,A4
1.0,0.9809481,1,A4
0.0,0.22638775,0,A4
0.0,0.0043223603,0,A4
1.0,0.056152675,0,A4
1.0,0.34630498,0,A4
1.0,0.5693406,1,A4
0.0,0.0022499957,0,A4
0.0,0.0013967848,0,A4
0.0,0.0022188027,0,A4
0.0,0.0017661244,0,A4
0.0,0.733424,1,A4
1.0,0.19878744,0,A4
1.0,0.5923919,1,A4
1.0,0.01236084,0,A4
0.0,0.009162438,0,A4
0.0,0.0018228691,0,A4
1.0,0.6998607,1,A4
1.0,0.0038728626,0,A4
0.0,0.40027094,0,A4
0.0,0.0011213884,0,A4
1.0,0.9167293,1,A4
0.0,0.1508404,0,A4
0.0,0.04066584,0,A4
0.0,0.007063625,0,A4
0.0,0.13716178,0,A4
1.0,0.0041527697,0,A4
0.0,0.011933595,0,A4
1.0,0.039956108,0,A4
0.0,0.04565462,0,A4
1.0,0.003359098,0,A4
0.0,0.0467068,0,A4
1.0,0.9263262,1,A4
0.0,0.0012012767,0,A4
0.0,0.14125903,0,A4
1.0,0.013741622,0,A4
0.0,0.0055032317,0,A4
0.0,0.60948557,1,A4
0.0,0.000983402,0,A4
0.0,0.0013426649,0,A4
0.0,0.22989598,0,A4
1.0,0.025308637,0,A4
1.0,0.046515204,0,A4
1.0,0.00907083,0,A4
1.0,0.5580731,1,A4
0.0,0.008846602,0,A4
1.0,0.045164824,0,A4
1.0,0.9680341,1,A4
0.0,0.005888804,0,A4
0.0,0.27259123,0,A4
0.0,0.012722295,0,A4
0.0,0.011677188,0,A4
1.0,0.03548696,0,A4
0.0,0.0038224782,0,A4
1.0,0.96069,1,A4
1.0,0.0018249976,0,A4
0.0,0.0039510475,0,A4
0.0,0.020947771,0,A4
0.0,0.021729356,0,A4
1.0,0.002331047,0,A4
1.0,0.00071524124,0,A4
1.0,0.08389295,0,A4
0.0,0.017545119,0,A4
0.0,0.008898884,0,A4
0.0,0.0036122664,0,A4
1.0,0.0032163938,0,A4
1.0,0.0016141606,0,A4
1.0,0.060154144,0,A4
0.0,0.05057473,0,A4
0.0,0.042891037,0,A4
1.0,0.074329935,0,A4
1.0,0.010623172,0,A4
0.0,0.0038053996,0,A4
1.0,0.040522926,0,A4
1.0,0.014095531,0,A4
1.0,0.07305717,0,A4
1.0,0.019103019,0,A4
1.0,0.0049647605,0,A4
1.0,0.0071043214,0,A4
1.0,0.053641334,0,A4
0.0,0.0017922582,0,A4
1.0,0.9590548,1,A4
0.0,0.0018011299,0,A4
1.0,0.0012930078,0,A4
1.0,0.015427572,0,A4
0.0,0.0051463204,0,A4
0.0,0.019380683,0,A4
0.0,0.002043813,0,A4
1.0,0.29637066,0,A4
1.0,0.0072692134,0,A4
0.0,0.010008666,0,A4
1.0,0.00995852,0,A4
1.0,0.9663069,1,A4
1.0,0.0016438875,0,A4
0.0,0.013684391,0,A4
0.0,0.0036688887,0,A4
1.0,0.002206765,0,A4
1.0,0.012310929,0,A4
1.0,0.14448476,0,A4
