label,logit,pred,code_prefix
0.0,0.36652526,0,E2
1.0,0.82354575,1,E2
0.0,0.5011281,1,E2
1.0,0.986312,1,E2
1.0,0.8478973,1,E2
1.0,0.2853452,0,E2
0.0,0.3623155,0,E2
0.0,0.8046017,1,E2
1.0,0.90301526,1,E2
0.0,0.55558217,1,E2
0.0,0.29689494,0,E2
0.0,0.2721237,0,E2
1.0,0.3133762,0,E2
0.0,0.36880645,0,E2
0.0,0.59509254,1,E2
0.0,0.3544722,0,E2
0.0,0.770539,1,E2
1.0,0.900262,1,E2
1.0,0.8405399,1,E2
0.0,0.5476499,1,E2
0.0,0.16157427,0,E2
0.0,0.24301174,0,E2
1.0,0.78571206,1,E2
1.0,0.99340713,1,E2
1.0,0.27777636,0,E2
1.0,0.9469803,1,E2
0.0,0.45513737,0,E2
0.0,0.33238852,0,E2
0.0,0.8940248,1,E2
1.0,0.97618276,1,E2
0.0,0.46952873,0,E2
1.0,0.8572854,1,E2
1.0,0.692843,1,E2
0.0,0.1951799,0,E2
1.0,0.21195051,0,E2
0.0,0.28348106,0,E2
0.0,0.96605474,1,E2
0.0,0.3141945,0,E2
1.0,0.77994984,1,E2
0.0,0.12888691,0,E2
0.0,0.3551926,0,E2
1.0,0.7980132,1,E2
0.0,0.28005385,0,E2
0.0,0.52950525,1,E2
1.0,0.69984174,1,E2
1.0,0.56303805,1,E2
0.0,0.048994213,0,E2
0.0,0.54603714,1,E2
1.0,0.8103088,1,E2
0.0,0.10466271,0,E2
1.0,0.72468704,1,E2
0.0,0.9071875,1,E2
0.0,0.67108595,1,E2
1.0,0.80680794,1,E2
0.0,0.48382142,0,E2
1.0,0.9634365,1,E2
1.0,0.8708567,1,E2
1.0,0.87122047,1,E2
1.0,0.7607279,1,E2
1.0,0.769931,1,E2
1.0,0.3621532,0,E2
0.0,0.11344672,0,E2
0.0,0.37608847,0,E2
1.0,0.849072,1,E2
1.0,0.82964486,1,E2
0.0,0.67139596,1,E2
1.0,0.7513755,1,E2
1.0,0.8882261,1,E2
1.0,0.9857655,1,E2
1.0,0.9740825,1,E2
0.0,0.36885226,0,E2
1.0,0.7007198,1,E2
0.0,0.05336051,0,E2
1.0,0.7651904,1,E2
1.0,0.9771813,1,E2
0.0,0.048679244,0,E2
0.0,0.010510255,0,E2
0.0,0.29612115,0,E2
0.0,0.058687203,0,E2
0.0,0.4295281,0,E2
0.0,0.6379177,1,E2
0.0,0.3306973,0,E2
1.0,0.11729182,0,E2
1.0,0.7666405,1,E2
1.0,0.9360636,1,E2
1.0,0.9888952,1,E2
1.0,0.7952701,1,E2
0.0,0.42513528,0,E2
